자치구,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업,협회 및 단체 수리 및 기타 개인 서비스업
종로구,4,4,5312,57,8,594,18010,1832,6816,1565,942,2571,2692,1463,93,1067,841,1118,2606
중구,-,4,10357,14,22,619,31337,2319,6163,1707,2919,2961,3603,1826,66,653,818,640,2115
용산구,4,-,1297,13,23,762,9074,1754,4771,1319,586,1989,1883,635,47,813,627,601,1849
성동구,8,1,5262,31,37,1981,11205,3114,4465,2486,457,2449,3572,875,45,1291,843,836,2348
광진구,3,-,2190,9,23,1566,8761,2997,5153,1157,266,2140,1732,879,40,1462,998,1122,2827
동대문구,2,-,3874,15,30,3448,14283,4203,4971,850,342,2181,1316,837,49,1325,1098,885,2782
중랑구,-,2,4288,10,42,4763,9204,6458,4400,719,206,1741,1077,869,46,1203,1137,1023,3132
성북구,1,-,3161,26,26,1575,9290,3921,4685,1168,201,1903,1452,723,49,1870,1148,1008,2955
강북구,1,-,2038,8,17,1572,6545,3316,3923,577,341,1211,801,594,42,888,875,827,2538
도봉구,1,-,1350,8,19,1399,6017,5278,2902,559,177,1092,820,562,37,1162,872,687,2251
노원구,4,-,1241,25,29,2134,9876,6791,4373,1055,301,1716,1260,862,40,2579,1531,1104,3097
은평구,2,-,1485,7,21,2013,9680,4930,4642,1335,233,2177,1405,861,54,1909,1343,1028,3305
서대문구,1,-,1029,8,20,1680,6674,3775,4351,1354,256,1687,1494,749,43,1415,871,735,2285
마포구,6,-,1945,23,50,2897,12311,4099,9111,5367,827,3358,4828,1759,62,2438,1347,1421,3667
양천구,-,1,1559,17,27,2282,9262,6526,3907,1211,264,1920,1508,792,47,2962,1315,1083,3091
강서구,4,-,1946,30,74,3044,15554,9712,6818,3042,554,3613,3277,1563,61,2551,1776,1517,4524
구로구,8,1,4434,23,38,2593,16900,6146,5005,3709,652,2449,2784,1237,45,1633,1277,1082,2972
금천구,2,-,6705,19,31,2327,13076,3543,3673,5259,391,3077,4357,1295,33,919,772,679,2280
영등포구,5,-,4657,55,32,11474,16160,6442,7437,4043,6863,3631,4804,1839,70,1706,1351,1358,3543
동작구,3,-,900,11,23,1570,7122,2260,4110,1124,225,1903,1167,645,41,1642,1118,886,2370
관악구,2,1,1791,11,13,2172,8274,4667,5988,1415,225,2445,1524,766,50,1567,1288,1234,3381
서초구,18,1,1614,38,37,4183,17100,4347,6346,4965,1712,5982,10835,1997,69,3278,1962,1709,3782
강남구,28,8,2965,95,44,2981,24648,4344,11838,9572,4336,10780,15593,3239,56,5297,3510,2514,5956
송파구,21,2,2356,68,47,4630,22138,8881,8238,3025,1038,4581,5744,1639,69,3255,2110,2023,4873
강동구,13,1,1885,32,31,2609,12112,6418,5087,1200,379,2501,1638,1089,45,2117,1491,1122,3387
